,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
0,Pumpspeicherkraftwerk Erzhausen,Hydro,Pumped Storage,Store,DE,194.33756805807622,0.75,4.681818181818182,0.0,0.0,0.0,1964.0,1964.0,2064.0,51.898567,9.924888,{nan},"{'MASTR': {'MASTR-SEE958882764216'}, 'ENTSOE': {'11WD2ERZH0002682'}, 'GEM': {'G601739'}, 'GHPT': {'G601739'}, 'JRC': {'JRC-H208'}, 'OPSD': {'BNA0558'}}"
1,Gud Herne,CCGT,CCGT,CHP,DE,1290.3142071123082,0.4575,,0.0,0.0,0.0,1963.0,2013.0,2018.0,51.5490505,7.183655,"{nan, nan}","{'MASTR': {'MASTR-SEE948351715917', 'MASTR-SEE945908806647'}, 'BEYONDCOAL': {'BEYOND-DE-128'}, 'ENTSOE': {'11WD7HERN2S--KWU'}, 'GEM': {'L100000101942'}, 'GGPT': {'L100000101942'}, 'OPSD': {'BNA0450'}}"
2,Presenzano,Hydro,Pumped Storage,Store,IT,585.897603195739,,15.0,0.0,0.0,0.0,1991.0,1991.0,2091.0,41.3854,14.0929,{'26WIMPI-S15PRSN8'},"{'ENTSOE': {'26WIMPI-S15PRSN8'}, 'GEM': {'G602246'}, 'GGPT': {'L100000401437'}, 'GHPT': {'G602246'}, 'JRC': {'JRC-H14'}, 'OPSD': {'OEU-1347'}}"
3,Staudinger,CCGT,CCGT,CHP,DE,1307.6416136536552,0.3597,,0.0,0.0,0.0,1965.0,1977.0,1982.0,50.088056,8.952222,"{nan, nan}","{'MASTR': {'MASTR-SEE929161243203', 'MASTR-SEE988182827533'}, 'BEYONDCOAL': {'BEYOND-DE-108'}, 'ENTSOE': {'11WD2STAU0001800'}, 'GEM': {'L100000101908'}, 'GGPT': {'L100000101908'}, 'OPSD': {'BNA0374'}}"
4,Rheinkraftwerk Albbruck Dogern Radag,Hydro,Run-Of-River,PP,DE,908.5084740525592,0.8,,0.0,0.0,0.0,1898.0,2010.0,2110.0,47.5889855,8.142102000000001,"{nan, nan, nan, nan}","{'MASTR': {'MASTR-SEE901440918859', 'MASTR-SEE991917215321', 'MASTR-SEE934395809149', 'MASTR-SEE900600559253'}, 'ENTSOE': {'11WD4KWRHF5-S--Z'}, 'GEM': {'G604129'}, 'GHPT': {'G604129'}, 'JRC': {'JRC-H884'}, 'OPSD': {'BNA0835'}}"
5,Pfreimd,Hydro,Pumped Storage,PP,DE,108.82903811252268,0.7519303557910674,,0.0,0.0,0.0,1952.0,1958.0,2058.0,49.53563925,12.28376725,"{nan, nan, nan, nan}","{'MASTR': {'MASTR-SEE968359064886', 'MASTR-SEE935182416977', 'MASTR-SEE942667598431', 'MASTR-SEE930411510563'}, 'GEM': {'G601755'}, 'GHPT': {'G601755'}, 'JRC': {'JRC-H2098', 'JRC-H532', 'JRC-H1178'}, 'OPSD': {'BNA0946b', 'BNA0946a', 'BNA0946c', 'BNA0953'}}"
6,Villarodin,Hydro,Reservoir,Store,FR,698.9776505006586,,1932.4929971988795,0.0,0.0,0.0,1968.0,1968.0,2068.0,45.2128,6.7164,{'17W100P100P0300X'},"{'ENTSOE': {'17W100P100P0300X'}, 'GEM': {'G601708'}, 'GHPT': {'G601708'}, 'JRC': {'JRC-H114'}, 'OPSD': {'OEU-252'}}"
7,Strasbourg,Hydro,Run-Of-River,PP,FR,289.38066314845196,,,0.0,0.0,0.0,1969.0,2016.0,2116.0,48.5256,7.7966,{'17W100P100P0308H'},"{'ENTSOE': {'17W100P100P0308H'}, 'GEM': {'G601706'}, 'GHPT': {'G601706'}, 'JRC': {'JRC-H339'}, 'OPSD': {'OEU-228'}}"
8,St Etienne Cantales,Hydro,Reservoir,Store,FR,202.2531969095743,,,0.0,0.0,0.0,1945.0,2016.0,2116.0,44.9453,2.2184,{'17W100P100P02950'},"{'ENTSOE': {'17W100P100P02950'}, 'GEM': {'G601698'}, 'GHPT': {'G601698'}, 'JRC': {'JRC-H501'}, 'OPSD': {'OEU-251'}}"
9,Sisteron,Hydro,Reservoir,Store,FR,469.9009415130478,,,0.0,0.0,0.0,1975.0,2017.0,2117.0,44.2093,5.9186,{'17W100P100P02942'},"{'ENTSOE': {'17W100P100P02942'}, 'GEM': {'G601705'}, 'GHPT': {'G601705'}, 'JRC': {'JRC-H221'}, 'OPSD': {'OEU-250'}}"
