country,year,total residential space,total residential water,electricity residential,total services space,total services water,total road,total rail,electricity rail,total domestic aviation,total international aviation,total domestic navigation,total international navigation,services electricity,agriculture electricity,agriculture oil,residential oil,residential biomass,residential gas,agriculture biomass,services oil,services biomass,services gas,residential heat oil,residential heat biomass,residential heat gas,other electricity,other oil,other gas,other biomass,other heat
AF,2025,0.067,0.067,0.06,0.06525,0.06525,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.07,0.0673264502330679,0.07,0.07,0.07
AF,2030,-0.0045459021552846,-0.0045459021552846,0.0147442596032305,0.0307001753253826,0.0307001753253826,0.0303344462565833,-0.01,-0.01,-0.07,-0.07,-0.035,0.0,0.06,0.0106614415971404,-0.003,0.0218126345082624,-0.0162148630343397,0.0079096978401442,-0.0121089965386135,0.067,-0.0121089965386135,0.0079096978401442,0.0026189753694776,-0.0162148630343397,0.0039548489200721,-0.0554629788690288,0.0250071981544448,-0.07,-0.0132148630343397,0.0006768873718343
AF,2035,0.0054357584560289,0.0054357584560289,0.0147442596032305,0.0207415610042351,0.0207415610042351,-0.0053798595398744,-0.0062879046250308,-0.0062879046250308,-0.07,-0.07,-0.0035674201596623,0.0120135488293718,0.06,0.0106614415971404,-0.005548310312522,0.0341242711338847,-0.0094034028182828,0.0085036193527446,-0.0007970348367467,0.0152596595009425,-0.0007970348367467,0.0085036193527446,0.0143881605788434,-0.0094034028182828,0.0061078573638569,-0.0532497059584915,0.033507108613835,-0.07,-0.0064034028182828,-0.0003159313344308
AF,2040,-0.004465115800599,-0.004465115800599,0.0147442596032305,0.016215227435031,0.016215227435031,-0.0148698520602584,-0.030803466582466,-0.030803466582466,-0.07,-0.07,0.0086090588131638,0.0,0.06,0.0106614415971404,-0.0026172407268224,0.0218126345082624,-0.0074061441665308,-0.0096259819844065,-0.0005395747421553,0.015026466466686,-0.0005395747421553,-0.0096259819844064,0.0083601024203054,-0.0074061441665308,-0.0152147242834362,0.0532497059584915,0.0225068505241728,-0.07,-0.0044061441665308,6.396778439610173e-05
AF,2045,0.0015513895326372,0.0015513895326372,0.0147442596032305,0.0204444193468043,0.0204444193468043,-0.0069665481334313,-0.01,-0.01,-0.07,-0.07,0.0167974016655114,0.0,0.06,0.0106614415971404,0.0015481513815585,0.0218126345082624,-0.0089621909370973,0.007334740292577,-0.0005421172944904,0.0149850543891306,-0.0005421172944904,0.007334740292577,0.0083588407223358,-0.0089621909370973,0.0036673701462885,0.0036668921856259,0.0224400583882211,-0.07,-0.0059621909370973,0.0006282159998461
AF,2050,-0.0007224448530179,-0.0007224448530179,0.0147442596032305,0.0204621991603023,0.0204621991603023,-0.0147234946845485,-0.030803466582466,-0.030803466582466,-0.07,-0.07,-0.0215894035542224,0.0,0.06,0.0106614415971404,-0.0176585319637477,0.0218126345082624,-0.0088520822491631,0.0074058595465693,-0.0005421172944904,0.0149850543891306,-0.0005421172944904,0.0074058595465693,0.0083588407223358,-0.0088520822491631,-0.0066988035179483,-0.0532497059584915,0.0215955699075492,-0.07,-0.0058520822491631,0.0007575581125254
AL,2025,-0.073,-0.073,-0.08,-0.07475,-0.07475,-0.07,-0.08,-0.08,0.0,0.07,-0.07,-0.07,-0.08,-0.08,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.07,-0.07,-0.07,-0.07,-0.07
AL,2030,0.0476291571438866,0.0476291571438866,-0.0144413593942272,0.0193597788194419,0.0193597788194419,-0.0489208104402354,-0.08,-0.08,0.0,0.07,-0.0389325788178911,0.07,0.0015426526885802,-0.0076573429459041,-0.032848814669011,0.067,0.0668784802741322,-0.0581035374108124,0.067,0.067,0.067,-0.0581035374108124,0.0685,0.0668784802741322,-0.0531749617906968,0.050639577561849,0.0342290571014948,-0.0658063516681536,0.0693962063510865,-0.07
AL,2035,-0.0481666666666666,-0.0481666666666666,0.0273503049435703,-0.0080177380026944,-0.0080177380026944,0.0371838144062184,0.0191670528820335,0.0191670528820335,-0.07,0.07,0.07,-0.07,0.0440052955508871,0.0344191015411552,0.0560804072101353,-0.073,-0.073,0.067,-0.073,-0.0700762475616649,-0.073,0.067,-0.0715,-0.073,0.0645378552138562,-0.0485814401853655,-0.0219700655625506,0.07,-0.07,0.07
AL,2040,0.045146413379022,0.045146413379022,-0.08,-0.00475,-0.00475,-0.0541458758743306,-0.08,-0.08,0.024133703340198,0.0656990371647676,-0.07,0.07,-0.08,-0.08,-0.0586612701882598,0.067,0.0668784802741322,-0.073,0.067,0.067,0.067,-0.073,0.0685,0.0668784802741322,-0.0715,0.0491106985579808,0.0246533031979368,-0.07,0.0693962063510865,-0.07
