country,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,paper pulp and print,textile and leather,transport equipment,wood and wood products,other
AF,0.0008574977025242,-0.0189979358719908,0.0004083730881975,0.0007170953276917,0.000552905466628,0.0008810879517419,0.0018661001832942,0.0002853406974094,0.0008810879517419,0.0008810879517418,0.0018661001832942,0.0011058109332561,-0.0190791382372655
AL,-0.0407786683391409,0.0123841531522525,-0.0025820523013963,0.0584868288513804,6.9772353600283665e-06,0.0640157090536968,0.0,0.0249032056628333,-0.0411104836163018,-0.0214072462871303,0.0,0.0026044394574533,0.0086555110865625
DZ,0.0628437755710502,0.0615323251299558,0.0432764492279307,0.0680187443262634,-0.0005623580772028,-0.0007208312678776,-0.0009253264894324,0.0699939997089192,-0.0007208312678776,0.0596968000379594,-0.0009253264894324,-0.0009005658187212,0.0442123764101645
AS,0.0038947701542559,0.0170937984987836,0.0093778601373169,0.0023839578376226,0.0062649455674333,0.0049108752350588,-8.372804322631655e-05,0.0038940306052089,0.0049108752350588,0.0049108752350588,-8.372804322631655e-05,-4.186402161315827e-05,0.0170937984987836
AD,-0.0015797428813397,0.0350573369793268,-0.0013051122515636,-0.0011356732451418,-0.0017547308022519,-0.0018397902179923,-7.682497283278966e-05,-0.0010002578516641,-0.0018397902179923,-0.0018397902179923,-7.682497283278966e-05,-0.0036336191872286,0.0550082088784976
AO,0.0002951220341116,-0.0138120861629606,0.0001490899800391,0.0001973261768051,-5.13947421145744e-05,0.0003439440694162,0.0002014005247987,0.07,0.0003439440694162,0.0003439440694162,0.0002014005247987,-0.000194899581458,-0.0137662390102268
AI,-5.9272890758876874e-05,-0.0012837390903241,2.733441092155527e-05,-7.771548960609082e-05,8.065432633305725e-05,-4.308495029418935e-05,-8.734704786506065e-05,-1.8670722047656183e-06,-4.308495029418935e-05,-4.308495029418935e-05,-8.734704786506065e-05,-4.367352393253032e-05,-0.0017243851969402
AG,0.0002801167175455,-0.029009952158415,-0.0004512818996366,0.0007671529491025,-0.0004267913304682,-0.0002520948095722,-7.826416239276046e-05,-0.0003598676739798,-0.0002520948095722,-0.0002520948095722,-7.826416239276046e-05,-3.913208119638023e-05,-0.0290049952158415
AR,-0.0070563997149029,0.0092065592832563,-0.0177600443697997,-0.0134057490215689,-0.0085803725937445,-0.0085889632088448,-0.07,-0.0136304335663924,-0.026119454102082,-0.026119454102082,-0.0653849086577353,-0.0524340604641575,0.0137887390591577
AM,-0.0698399955759145,-0.0073056065743124,-0.0275720880305709,-0.024820818457536,-0.0036852322277591,0.0281064946278038,-0.07,0.0159561585748161,-0.0050958536039465,0.07,-0.07,-0.0542766990054256,-0.004876203855837
AW,-0.0015732119960489,-0.002303391041527,-0.0012734097364735,-0.0009941110005493,-0.0018583211015271,-0.0019665149950611,-8.704946453053086e-05,-0.0009785233641989,-0.0019665149950611,-0.0019665149950611,-8.704946453053086e-05,-0.0038787664410888,-0.0020100755976408
AU,-0.012357798271435,-0.0156656150174796,-0.0069094186034032,-0.005410910584175,-0.0696645112199414,-0.0071901096193811,-0.0104009585623675,-0.020824271484349,-0.0216340185487218,-0.0141966505158106,0.0,-0.0009320907561727,-0.0091280229315625
AT,-0.003271557930466,-0.0093833614575805,0.0059192385421526,-0.0028174893198627,-0.0086733945675533,-0.0699451367839318,0.0223499109518119,0.0010252539640826,-0.0106011611405399,-0.0325150416712573,0.0196575668367526,-0.0251616564950109,-0.0058813572891161
AZ,0.0443733910494492,0.0234725757010872,-0.0540835474636463,-0.0285046737717012,0.0244081347507682,0.0360323822996943,0.07,0.0699803693451827,0.048560505661468,0.0669564379834061,-0.07,0.0587654320987654,0.0094199819926127
BS,0.0005371552159599,-0.0095027319668838,0.0003997577824386,0.000293165921042,-0.0003578024866446,0.0007049621124063,-8.54522076366715e-05,0.0002783277907897,0.0007049621124063,0.0007049621124063,-8.54522076366715e-05,-4.272610381833575e-05,-0.0095027319668837
BH,-0.0002081038525148,0.0261341075614937,-0.0001848199021624,0.0508890558897878,-0.0002429880408096,-0.0002887327123526,-0.0004092464281024,-0.0001567226979542,-0.0002887327123526,-0.0002887327123526,-0.0004092464281024,-0.0004783293260875,0.0163625325232903
BD,-0.0004612838494427,0.0347040508098621,-0.0001749638879215,-0.0002092271950898,0.0002174787159995,-0.0006655745163381,-0.0003607161276688,0.07,-0.0006655745163381,-0.0006655745163381,-0.0003607161276688,3.0690338802707995e-05,0.0348039981143704
BB,-0.0002714657183957,0.0260967111232176,-0.000254917445945,-0.0002184515249493,-0.0004871262813409,-0.0003015863182691,0.0002012220771545,-0.000213198200044,-0.0003015863182691,-0.0003015863182691,0.0002012220771545,-0.0008405579803215,0.0272146908072286
BY,0.00116240032553,-0.0346935769475515,-0.0070105338870593,-0.0069479566808761,-0.0280830158344186,-0.0308606697024916,0.07,-0.0593741307176353,0.0437871762911872,-0.0598548812036606,-0.029764347267068,0.0046931393157056,-0.0379655115909322
BE,-0.0101549998070998,-0.0155828577409447,0.005193619841813,-0.0105353659607611,-0.0310571415085073,-0.0140822501498711,-0.0051214239305619,-0.0058731166347787,0.003742980655291,-0.0642880660109021,-0.07,-0.0256041102803495,-0.0097764317813785
BZ,-0.0064387244709358,0.0418798883401962,-0.0049469649452998,-0.0041568212473893,-0.0064118987647332,-0.0079253966992024,-6.369638158104651e-05,-0.0037280707986339,-0.0079253966992023,-0.0079253966992024,-6.369638158104651e-05,-0.0140479623378743,0.0418798883401962
