country,capa_2020,capa_2025,power_2020_MW,power_2025_MW,duration_2020_hrs,duration_2025_hrs
CN,43049.62,322341.9,8472.75,130051.55,5.08,2.48
US,19151.03,118135.64,3769.18,47662.82,5.08,2.48
GB,510.27,14685.1,100.43,5924.83,5.08,2.48
AU,115.49,14777.37,22.73,5962.05,5.08,2.48
CL,159.39,8396.86,31.37,3387.78,5.08,2.48
IT,400.08,3368.92,78.74,1359.22,5.08,2.48
IR,882.46,1856.64,173.68,749.08,5.08,2.48
ZA,92.97,2513.84,18.3,1014.23,5.08,2.48
SA,17.86,3797.32,3.52,1532.06,5.07,2.48
KR,880.36,1162.99,173.27,469.22,5.08,2.48
DE,87.8,1837.09,17.28,741.19,5.08,2.48
JP,116.96,1709.98,23.02,689.91,5.08,2.48
PH,89.72,1827.16,17.66,737.18,5.08,2.48
IL,77.66,1433.22,15.28,578.24,5.08,2.48
BE,47.08,1374.54,9.27,554.57,5.08,2.48
SE,176.83,814.33,34.8,328.55,5.08,2.48
UZ,28.48,1285.44,5.61,518.62,5.08,2.48
FR,138.67,865.35,27.29,349.13,5.08,2.48
IN,28.38,1024.4,5.59,413.3,5.08,2.48
CA,1.25,1180.95,0.25,476.46,5.0,2.48
