year,market,fuel_type,price_eur_mwh
2018,Australia,coal,9.221965771750892
2019,Australia,coal,6.90725984443014
2020,Australia,coal,5.628884343369539
2021,Australia,coal,10.0034357043748
2022,Australia,coal,19.412224150370808
2023,Australia,coal,11.068908264193304
2024,Australia,coal,9.279936818806332
2010,Colombia,coal,8.840671107898254
2011,Colombia,coal,11.540250028817017
2012,Colombia,coal,9.22029136167158
2013,Colombia,coal,7.572189083332482
2014,Colombia,coal,6.910826263528714
2015,Colombia,coal,6.498777459544782
2016,Colombia,coal,7.138141447317425
2017,Colombia,coal,9.131711216655619
2018,Colombia,coal,9.433917741683969
2019,Colombia,coal,6.527984697602225
2020,Colombia,coal,5.681060531725126
2021,Colombia,coal,12.062225886850884
2022,Colombia,coal,27.63130540960621
2023,Colombia,coal,10.671315479539992
2024,Colombia,coal,8.604258609540823
2019,Indonesia,coal,9.192742581611206
2020,Indonesia,coal,8.126332682762017
2021,Indonesia,coal,16.34550919058368
2022,Indonesia,coal,20.287593775626494
2023,Indonesia,coal,12.915923096995588
2024,Indonesia,coal,10.900483042435004
2001,Japan,coal,6.918978743621406
2002,Japan,coal,5.688094973347744
2003,Japan,coal,6.999246811823184
2004,Japan,coal,12.773222090316075
2005,Japan,coal,10.757745871908412
2006,Japan,coal,10.517425793660266
2007,Japan,coal,14.987977200799945
2008,Japan,coal,23.839986045481467
2009,Japan,coal,12.666909212984187
2010,Japan,coal,16.171812528065132
2011,Japan,coal,18.230239127448403
2012,Japan,coal,14.202637579540719
2013,Japan,coal,12.569445692975828
2014,Japan,coal,10.455080039026239
2015,Japan,coal,8.243299024571675
2016,Japan,coal,9.7068064318368
2017,Japan,coal,12.73620389943563
2018,Japan,coal,14.595846783658068
2019,Japan,coal,9.355602520154072
2020,Japan,coal,7.666625715082494
2021,Japan,coal,13.748098105730936
2022,Japan,coal,23.8364348697602
2023,Japan,coal,13.897386302451446
2024,Japan,coal,11.959271380346284
1987,Northwest_Europe,coal,8.970656360083659
1988,Northwest_Europe,coal,10.992121753183362
1989,Northwest_Europe,coal,11.048727442603212
1990,Northwest_Europe,coal,10.831089937871843
1991,Northwest_Europe,coal,10.231159982556088
1992,Northwest_Europe,coal,8.941277056544068
1993,Northwest_Europe,coal,7.588613777858069
1994,Northwest_Europe,coal,8.168068966890143
1995,Northwest_Europe,coal,9.50677593676782
1996,Northwest_Europe,coal,8.559713397424954
1997,Northwest_Europe,coal,7.895070439364646
1998,Northwest_Europe,coal,6.391761892662756
1999,Northwest_Europe,coal,5.626325866039729
2000,Northwest_Europe,coal,6.804667576629649
2001,Northwest_Europe,coal,7.176046923210693
2002,Northwest_Europe,coal,5.72790090727351
2003,Northwest_Europe,coal,7.714464995044495
2004,Northwest_Europe,coal,12.432782005524373
2005,Northwest_Europe,coal,10.092363025153416
2006,Northwest_Europe,coal,10.353339532054717
2007,Northwest_Europe,coal,13.941563425648328
2008,Northwest_Europe,coal,22.331154266269508
2009,Northwest_Europe,coal,10.682179729346197
2010,Northwest_Europe,coal,13.81115889251085
2011,Northwest_Europe,coal,17.58321301267642
2012,Northwest_Europe,coal,13.117093928697381
2013,Northwest_Europe,coal,11.416848595716324
2014,Northwest_Europe,coal,10.36703293693567
2015,Northwest_Europe,coal,7.801560082269127
2016,Northwest_Europe,coal,8.150890429071175
2017,Northwest_Europe,coal,11.225086479243782
2018,Northwest_Europe,coal,11.906115042615152
2019,Northwest_Europe,coal,7.662261262753001
2020,Northwest_Europe,coal,6.306154943503892
2021,Northwest_Europe,coal,14.731098799152939
2022,Northwest_Europe,coal,32.40526117559089
2023,Northwest_Europe,coal,13.8413490430651
2024,Northwest_Europe,coal,11.624571342202318
2025,Northwest_Europe,coal,10.127977260682844
2014,South_Africa,coal,8.63739546556613
2015,South_Africa,coal,6.522053550126268
2016,South_Africa,coal,7.195588428315333
2017,South_Africa,coal,9.509260654690456
2018,South_Africa,coal,10.117096236658572
2019,South_Africa,coal,7.089695749200917
2020,South_Africa,coal,6.075646918817192
2021,South_Africa,coal,11.593094333714145
2022,South_Africa,coal,23.6955270536901
2023,South_Africa,coal,10.648979124399878
2024,South_Africa,coal,9.175730839988733
2000,South_China,coal,5.676408529316483
2001,South_China,coal,6.374281527115623
2002,South_China,coal,6.553614170131342
2003,South_China,coal,6.127594866526492
2004,South_China,coal,8.039916230351627
2005,South_China,coal,9.337008104500594
2006,South_China,coal,9.430122240245481
2007,South_China,coal,10.48824109536766
2008,South_China,coal,17.316701294233653
2009,South_China,coal,14.54583014217562
2010,South_China,coal,17.929921002847237
2011,South_China,coal,20.09541305107912
2012,South_China,coal,17.308950142502358
2013,South_China,coal,14.547840304891858
2014,South_China,coal,12.619949425630706
2015,South_China,coal,10.119765674267702
2016,South_China,coal,10.5585490825629
2017,South_China,coal,13.725240539931383
2018,South_China,coal,14.066074254139366
2019,South_China,coal,4.889754991421224
2020,South_China,coal,4.204569033660497
2021,South_China,coal,16.34527272895493
2022,South_China,coal,21.57555416727738
2023,South_China,coal,14.063816051333323
2024,South_China,coal,11.548936545760366
2025,South_China,coal,8.838846738265516
1990,United_States,coal,7.615247825973386
1991,United_States,coal,6.710613205433431
1992,United_States,coal,6.407620703732898
1993,United_States,coal,6.509051265579473
1994,United_States,coal,6.742426966548659
1995,United_States,coal,5.582960387707089
1996,United_States,coal,5.996309806487598
1997,United_States,coal,5.841730422949632
1998,United_States,coal,5.992405699655834
1999,United_States,coal,5.9179843271547625
2000,United_States,coal,5.47125214083115
2001,United_States,coal,8.922288553783401
2002,United_States,coal,5.813854470580687
2003,United_States,coal,6.596029261727266
2004,United_States,coal,10.824503969676755
2005,United_States,coal,11.311959472409656
2006,United_States,coal,9.035381748893025
2007,United_States,coal,7.5568807285300625
2008,United_States,coal,17.181729900463278
2009,United_States,coal,8.919030835702657
2010,United_States,coal,9.806630058212967
2011,United_States,coal,11.8709120486075
2012,United_States,coal,9.232469351418676
2013,United_States,coal,9.428616687882865
2014,United_States,coal,8.927692131642662
2015,United_States,coal,6.854428883133724
2016,United_States,coal,6.753453759312129
2017,United_States,coal,8.203471440560953
2018,United_States,coal,9.139420247966852
2019,United_States,coal,7.044471348270631
2020,United_States,coal,5.205989404541051
2021,United_States,coal,7.96883298294515
2022,United_States,coal,16.96262025578133
2023,United_States,coal,7.608697182723304
2024,United_States,coal,7.800772943090528
1989,Henry_Hub,gas,10.619746211092247
1990,Henry_Hub,gas,9.719751516664653
1991,Henry_Hub,gas,8.474148354329289
1992,Henry_Hub,gas,9.772428403046103
1993,Henry_Hub,gas,11.364619922539914
1994,Henry_Hub,gas,10.035521068257689
1995,Henry_Hub,gas,8.589910514113367
1996,Henry_Hub,gas,13.626146077622353
1997,Henry_Hub,gas,12.210470153358473
1998,Henry_Hub,gas,9.884680414164244
1999,Henry_Hub,gas,10.554502378003832
2000,Henry_Hub,gas,19.0280429139923
2001,Henry_Hub,gas,17.801752143401984
2002,Henry_Hub,gas,14.338376240016382
2003,Henry_Hub,gas,23.701589593630814
2004,Henry_Hub,gas,23.988926296285975
2005,Henry_Hub,gas,34.90336756586808
2006,Henry_Hub,gas,25.897406318226118
2007,Henry_Hub,gas,25.96476660816513
2008,Henry_Hub,gas,31.804537590801246
2009,Henry_Hub,gas,14.153725405072644
2010,Henry_Hub,gas,15.559404497734043
2011,Henry_Hub,gas,13.74026274678913
2012,Henry_Hub,gas,9.278100262874403
2013,Henry_Hub,gas,12.369555028339317
2014,Henry_Hub,gas,14.200784147149774
2015,Henry_Hub,gas,8.529978027780817
2016,Henry_Hub,gas,9.069206976053842
2017,Henry_Hub,gas,9.354053835142686
2018,Henry_Hub,gas,9.624599717503527
2019,Henry_Hub,gas,7.6050650831579505
2020,Henry_Hub,gas,5.9560350877192985
2021,Henry_Hub,gas,10.977334925015976
2022,Henry_Hub,gas,16.886966127591105
2023,Henry_Hub,gas,6.4317938825936
2024,Henry_Hub,gas,5.556100980672945
2009,JKM,gas,19.064201566016216
2010,JKM,gas,27.424338521120276
2011,JKM,gas,48.28032173182546
2012,JKM,gas,51.012682172603995
2013,JKM,gas,55.064470771316955
2014,JKM,gas,45.3508913086396
2015,JKM,gas,24.34802157355061
2016,JKM,gas,18.461161531326677
2017,JKM,gas,22.531893190732212
2018,JKM,gas,30.107722193216155
2019,JKM,gas,16.63418617790325
2020,JKM,gas,13.13919298245614
2021,JKM,gas,53.171466043046124
2022,JKM,gas,89.9402992187376
2023,JKM,gas,35.00624575625054
2024,JKM,gas,29.41029452436213
2005,Netherlands_TTF,gas,23.04415517701062
2006,Netherlands_TTF,gas,27.895425796783623
2007,Netherlands_TTF,gas,22.042032084629398
2008,Netherlands_TTF,gas,38.3885086079015
2009,Netherlands_TTF,gas,17.728263198700684
2010,Netherlands_TTF,gas,23.765391801333504
2011,Netherlands_TTF,gas,31.61293534223664
2012,Netherlands_TTF,gas,31.613017986593874
2013,Netherlands_TTF,gas,34.9805695962714
2014,Netherlands_TTF,gas,26.536488348706147
2015,Netherlands_TTF,gas,21.07983075830892
2016,Netherlands_TTF,gas,14.620465338620605
2017,Netherlands_TTF,gas,18.04447547252187
2018,Netherlands_TTF,gas,24.308283901899927
2019,Netherlands_TTF,gas,13.51338257804162
2020,Netherlands_TTF,gas,9.368035087719297
2021,Netherlands_TTF,gas,44.795530800781336
2022,Netherlands_TTF,gas,98.17203349096461
2023,Netherlands_TTF,gas,32.718255837541356
2024,Netherlands_TTF,gas,26.89152874645706
1996,UK_NBP,gas,9.232207668533986
1997,UK_NBP,gas,9.4594946642619
1998,UK_NBP,gas,8.839185370358411
1999,UK_NBP,gas,7.346305619932183
2000,UK_NBP,gas,12.190542859791755
2001,UK_NBP,gas,13.865246755426114
2002,UK_NBP,gas,10.204790296948596
2003,UK_NBP,gas,14.018879812929063
2004,UK_NBP,gas,18.288993381441955
2005,UK_NBP,gas,28.200334476513866
2006,UK_NBP,gas,28.779165181530214
2007,UK_NBP,gas,22.340907095946402
2008,UK_NBP,gas,38.352530624201506
2009,UK_NBP,gas,17.294985890382133
2010,UK_NBP,gas,23.16148797379588
2011,UK_NBP,gas,30.993073864937884
2012,UK_NBP,gas,31.781710718646142
2013,UK_NBP,gas,35.24658153236472
2014,UK_NBP,gas,26.896416057504876
2015,UK_NBP,gas,21.308604115375836
2016,UK_NBP,gas,15.007762433683403
2017,UK_NBP,gas,18.265686205109706
2018,UK_NBP,gas,24.585916586058683
2019,UK_NBP,gas,13.51338257804162
2020,UK_NBP,gas,9.487754385964912
2021,UK_NBP,gas,44.16662098736896
2022,UK_NBP,gas,64.98041041259587
2023,UK_NBP,gas,31.26919555569221
2024,UK_NBP,gas,26.397653103730573
2005,Zeebrugge,gas,28.200334476513866
2006,Zeebrugge,gas,29.317093502680308
2007,Zeebrugge,gas,22.751860236507287
2008,Zeebrugge,gas,38.78426642860151
2009,Zeebrugge,gas,17.47551810218153
2010,Zeebrugge,gas,23.48120176484521
2011,Zeebrugge,gas,31.475188347281367
2012,Zeebrugge,gas,31.680495079414786
2013,Zeebrugge,gas,34.9805695962714
2014,Zeebrugge,gas,26.60192975030592
2015,Zeebrugge,gas,20.949103125699253
2016,Zeebrugge,gas,14.523641064854905
2017,Zeebrugge,gas,17.886467806387707
2018,Zeebrugge,gas,24.184891597829374
2019,Zeebrugge,gas,13.301289129507332
2020,Zeebrugge,gas,9.188456140350876
2021,Zeebrugge,gas,44.50966270377571
2022,Zeebrugge,gas,81.9467823370252
2023,Zeebrugge,gas,32.26065785379952
2024,Zeebrugge,gas,26.768059835775436
1976,Brent,oil,32.32350860020288
1977,Brent,oil,33.005582636877946
1978,Brent,oil,30.897348427564985
1979,Brent,oil,62.561718190321855
1980,Brent,oil,64.22369667524777
1981,Brent,oil,56.79552606048968
1982,Brent,oil,49.092192251797584
1983,Brent,oil,42.630354027703085
1984,Brent,oil,39.801187936520556
1985,Brent,oil,36.80338242080662
1986,Brent,oil,18.918058733350513
1987,Brent,oil,23.32401853381001
1988,Brent,oil,18.121947629916676
1989,Brent,oil,21.124467783126658
1990,Brent,oil,26.088129591748835
1991,Brent,oil,21.099573689330295
1992,Brent,oil,19.786557595482787
1993,Brent,oil,16.874650540546977
1994,Brent,oil,15.338364991640002
1995,Brent,oil,16.047056482613222
1996,Brent,oil,18.929464380873764
1997,Brent,oil,17.090378619169083
1998,Brent,oil,11.21296068469691
1999,Brent,oil,15.498650059624113
2000,Brent,oil,23.78113100751261
2001,Brent,oil,19.829119629513567
2002,Brent,oil,19.983747540550134
2003,Brent,oil,22.513738214378822
2004,Brent,oil,29.110341267694366
2005,Brent,oil,40.112007367449976
2006,Brent,oil,46.42779080921361
2007,Brent,oil,50.16630170980276
2008,Brent,oil,64.90900868606217
2009,Brent,oil,41.304040473936915
2010,Brent,oil,52.38655986322309
2011,Brent,oil,71.07143560110072
2012,Brent,oil,69.88706051714755
2013,Brent,oil,67.02159025456506
2014,Brent,oil,60.05819639078289
2015,Brent,oil,31.760672832021065
2016,Brent,oil,26.180405047054283
2017,Brent,oil,31.76590228015236
