year,phi_t_observed,annual_grid_battery_additions_mwh,rolling_median_5yr_phi,rolling_median_5yr_phi_ci_low,rolling_median_5yr_phi_ci_high,rolling_median_5yr_n_window
2000,3308.5934007,0.156562,3308.5934007,524.6218815690003,9718.46902177,3
2001,524.621881569,0.806295,1317.4826356434498,291.4285432029999,9718.46902177,4
2002,9718.46902177,0.101765,2313.0326958599994,524.6218815690003,9718.46902177,5
2005,291.428543203,5.871079,793.5508282589998,291.4285432029999,9718.46902177,5
2006,2313.03269586,1.174216,2313.0326958599994,291.4285432029999,9718.46902177,5
2008,793.550828259,3.914053,793.5508282589998,70.8815195046,2313.0326958599994,5
2009,7556.97561881,0.301708,793.5508282589998,70.8815195046,7556.975618809998,5
2010,70.8815195046,72.952725,126.75163160500006,38.81212341530001,7556.975618809998,5
2011,126.751631605,42.729233,71.77908133470001,38.81212341530001,126.75163160500006,5
2012,38.8121234153,132.973915,70.8815195046,38.81212341530001,126.75163160500006,5
2013,71.7790813347,106.64667,46.3356116661,13.257,126.75163160500006,5
2014,46.3356116661,154.373704,38.81212341530001,7.576,71.77908133470001,5
2015,13.257,1000.0,33.25000000000001,7.576,71.77908133470001,5
2016,7.576,2000.0,20.111111122299995,7.576,46.3356116661,5
2017,33.25,4000.0,20.111111122299995,7.576,33.25000000000001,5
2018,20.1111111223,8999.999995,27.0,7.576,33.25000000000001,5
2019,30.2857142857,7000.0,27.0,20.111111122299995,33.25000000000001,5
2020,27.0,10000.0,23.500000000000004,20.111111122299995,30.285714285699992,5
2021,23.5,20000.0,23.500000000000004,11.000000002400002,30.285714285699992,5
2022,17.75,40000.0,17.749999999999996,7.875000000000001,27.0,5
2023,11.0000000024,89999.99998,13.97318861400647,9.307255235508478,23.500000000000004,4
2024,7.875,160000.0,11.000000002400002,7.875000000000001,17.749999999999996,3
