Year,"Cumulative production, GW","Historical cost, 2020 EUR/kW"
1975,0.00054,102306.947327
1976,0.00108,76973.89487809999
1977,0.00216,56156.5960557
1978,0.0035099999999999997,39730.6778213
1979,0.005235,33383.3142775
1980,0.007965,28290.527601799997
1981,0.01288,22618.5385795
1982,0.019405000000000002,20321.9759667
1983,0.029255,16406.3945598
1984,0.046704999999999997,15244.3743713
1985,0.066455,13308.638189099998
1986,0.089155,11009.183180099999
1987,0.113655,9359.79422548
1988,0.1406,8742.267628720001
1989,0.17335,9034.399648730001
1990,0.21230000000000002,9344.60914523
1991,0.25715,8656.218840639998
1992,0.30905,8064.72381001
1993,0.3659,7541.92319003
1994,0.42375,7134.818419560001
1995,0.48925,6327.62462111
1996,0.565,6167.311878019999
1997,0.6507999999999999,6476.509906310001
1998,0.771,5538.21569631
1999,0.9145,5115.92584559
2000,1.1051,5062.09969689
2001,1.275635,4875.99309038
2002,1.556459,5062.09969689
2003,2.342085,5136.54233949
2004,3.426466,5564.587534439999
2005,4.936451,5397.091588589999
2006,6.486789,5136.54233949
2007,8.959092,5583.19819509
2008,15.233347,5508.75555249
2009,23.556506000000002,4466.558556079999
2010,41.398892,3820.13233106
2011,72.550606,3368.91851796
2012,102.51157,2557.60137326
2013,139.47791899999999,2246.6687777
2014,179.060168,2060.10922036
2015,227.23640799999998,1547.43198722
2016,299.167332,1415.8279584
2017,394.311531,1216.9757170500002
2018,490.28866800000003,1039.81644748
2019,592.653616,859.041682623
2020,723.638287,754.915418063
2021,866.829746,703.575384842
2022,1060.522281,672.4821252859999
2023,1413.548284,561.124870131
2024,1852.3589,499.66145007800003
