Year,"Cumulative production, GW","Historical cost, 2020 EUR/kW"
1983,0.274,4594.9978128
1984,0.68,4345.68435743
1985,0.995,4257.847944319999
1986,1.354,3752.1231416
1987,1.469,3628.79726866
1988,1.469,2786.8098339499998
1989,1.659,2611.1370077399997
1990,1.947,2943.85069374
1991,2.396,2895.9399229600003
1992,2.591,2848.91638867
1993,2.934,2851.57809816
1994,3.531,2639.52857561
1995,4.767,2413.28326913
1996,6.011,2295.28081516
1997,7.486,2171.06770572
1998,9.971,2157.75915828
1999,13.704,2013.13960943
2000,16.965,1967.00331164
2001,23.958,1841.01572921
2002,30.727,1823.27099929
2003,38.664,1734.5473496900001
2004,47.664,1744.30695114
2005,58.467,1649.37264607
2006,73.147,1681.31315993
2007,91.521,1704.38130882
2008,115.48,1790.44324894
2009,150.108,1819.7220533
2010,181.059,1729.2239307099999
2011,220.301,1720.35156575
2012,267.32,1749.6303701200002
2013,299.988,1621.8683147
2014,349.696,1580.1681993799998
2015,416.583,1456.84232644
2016,467.537,1450.6316709700002
2017,515.222,1444.42101549
2018,563.594,1374.32933231
2019,622.942,1306.89935861
2020,733.784,1154.60538675
2021,824.384,1101.7511104999999
2022,903.175,987.853867319
2023,1019.607,869.4900655829999
2024,1049.782,752.746120884
