Year,"Cumulative production, GWh","Battery cell/pack costs, 2020$/kWh"
1996,0.674206569,4572.130837
1997,1.390710797,4364.864852
1998,2.399914615,3750.355793
1999,3.91122508,2651.13516
2000,5.940651026,2323.935003
2001,8.392928319,1949.295534
2002,11.83352107,1393.323625
2003,16.91474852,1142.291856
2004,23.83100185,1098.949257
2005,32.45794105,779.8083699
2006,43.80115662,696.3224336
2007,57.50786728,660.9126319
2008,74.32094569,642.2271715
2009,93.41437012,520.204877
2010,117.6784433,432.6618052
2011,147.358777,370.5397293
2012,182.1997245,343.4585516
2013,224.6953506,314.371033
2014,274.3445853,294.0508999
2015,337.2502475,283.7360649
2016,415.3083333,267.0029216
2017,540.3083333,221
2018,700.3083333,181
2019,943.3083333,157
2020,1173.308333,137
