,PEM electrolyzers,
Year,"Cumulative production, GW","PEMEL cost, 2020$/kW"
2002,0.000003,
2003,0.00000664,
2004,0.00000924,6436.467812
2005,0.00004564,3807.231432
2006,0.00015604,3257.702812
2007,0.00024788,3229.366162
2008,0.000336388,3671.620318
2009,0.000347888,2762.823448
2010,0.000360088,2601.911752
2011,0.000620088,2322.593338
2012,0.000749328,2265.920036
2013,0.002521448,2840.749237
2014,0.008841408,2624.176264
2015,0.011462208,2674.777426
2016,0.013447808,1866.170856
2017,0.014035408,1590.900535
2018,0.031608208,1202.28361
2019,0.052090608,1076.792728
2020,0.080235097,1313
