year,technology,region,segment,usd_per_kw,usd_per_w,cumulative_capacity_mw,source
2000,onwind_power,Global,utility_onshore,2565,2.565,16960.93,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2001,onwind_power,Global,utility_onshore,2410,2.41,23954.161,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2002,onwind_power,Global,utility_onshore,2390,2.39,30722.839,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2003,onwind_power,Global,utility_onshore,2258,2.258,38659.912,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2004,onwind_power,Global,utility_onshore,2287,2.287,47659.868,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2005,onwind_power,Global,utility_onshore,2159,2.159,58463.311,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2006,onwind_power,Global,utility_onshore,2205,2.205,73143.149,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2007,onwind_power,Global,utility_onshore,2217,2.217,91516.52,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2008,onwind_power,Global,utility_onshore,2340,2.34,115475.696,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2009,onwind_power,Global,utility_onshore,2392,2.392,150104.293,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2010,onwind_power,Global,utility_onshore,2272,2.272,181055.236,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2011,onwind_power,Global,utility_onshore,2247,2.247,220297.164,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2012,onwind_power,Global,utility_onshore,2114,2.114,267316.225,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2013,onwind_power,Global,utility_onshore,2183,2.183,299983.721,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2014,onwind_power,Global,utility_onshore,2104,2.104,349691.977,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2015,onwind_power,Global,utility_onshore,1911,1.911,416579.199,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2016,onwind_power,Global,utility_onshore,1915,1.915,467532.747,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2017,onwind_power,Global,utility_onshore,1917,1.917,515218.162,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2018,onwind_power,Global,utility_onshore,1819,1.819,563590.46,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2019,onwind_power,Global,utility_onshore,1725,1.725,622937.676,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2020,onwind_power,Global,utility_onshore,1552,1.552,733779.646,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2021,onwind_power,Global,utility_onshore,1471,1.471,824380.009,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2022,onwind_power,Global,utility_onshore,1322,1.322,903170.934,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
2023,onwind_power,Global,utility_onshore,1160,1.16,1019602.743,IRENA Renewable Capacity Statistics (capacity) & IRENA Power Generation Costs 2023 (costs)
