Year,"Cumulative production, GW","Global average LCOE, 2020$/MWh"
2000,0.804427,558.8626651
2001,1.086080,497.7776761
2002,1.431990,444.4907708
2003,1.958770,384.7054625
2004,3.044415,427.5949228
2005,4.539715,436.6926871
2006,6.076813,469.1847026
2007,8.480431,460.0869382
2008,14.688027,454.8882158
2009,22.748904,428.8946034
2010,40.149107,380.563083
2011,71.988109,289.2607484
2012,101.329558,217.4627192
2013,137.114308,168.1167319
2014,175.759595,154.2943731
2015,223.698016,117.3069836
2016,295.648155,103.8295146
2017,390.627669,83.43346336
2018,486.103186,70.43068672
2019,588.176744,60.93485646
2020,720.964558,56.66863868
2021,866.327079,
2022,1065.171731,
2023,1410.654902,
