Year,"Cumulative production, GW","Global average LCOE, 2020$/MWh"
2000,16.933194,143.215001
2001,23.920585,126.186945
2002,30.678163,120.036233
2003,38.597896,106.961621
2004,47.591127,112.06184
2005,58.310740,103.732672
2006,73.053543,106.016304
2007,91.421691,99.414484
2008,115.432748,91.74088
2009,149.967115,91.140094
2010,180.916483,89.499516
2011,220.030413,83.189334
2012,267.063648,77.294115
2013,299.699790,78.89209
2014,349.189407,72.504395
2015,416.106052,63.46819
2016,466.715911,60.275007
2017,514.787243,57.667646
2018,563.568577,50.356839
2019,622.486244,45.29019
2020,733.430859,40.755659
2021,824.301540,
2022,900.910496,
2023,1016.878606,
