country,region,onwind,offwind,solar
AD,Europe,3.7,4.7,4.2
AE,Asia,3.8,6.2,4.0
AF,Africa,10.8,12.0,12.0
AL,Europe,3.7,4.7,4.2
AM,Asia,3.8,6.2,4.0
AO,Africa,10.8,12.0,12.0
AR,South America,7.7,7.7,7.7
AT,Europe,3.7,4.7,4.2
AU,Oceania,3.9,3.9,3.9
AZ,Asia,3.8,6.2,4.0
BA,Europe,3.7,4.7,4.2
BD,Asia,3.8,6.2,4.0
BE,Europe,3.7,4.7,4.2
BF,Africa,10.8,12.0,12.0
BG,Europe,3.7,4.7,4.2
BH,Asia,3.8,6.2,4.0
BI,Africa,10.8,12.0,12.0
BJ,Africa,10.8,12.0,12.0
BN,Asia,3.8,6.2,4.0
BO,South America,7.7,7.7,7.7
BR,South America,7.7,7.7,7.7
BS,North America,4.1,5.4,5.5
BT,Asia,3.8,6.2,4.0
BW,Africa,10.8,12.0,12.0
BY,Europe,3.7,4.7,4.2
BZ,North America,4.1,5.4,5.5
CA,North America,4.1,5.4,5.5
CD,Africa,10.8,12.0,12.0
CF,Africa,10.8,12.0,12.0
CG,Africa,10.8,12.0,12.0
CH,Europe,3.7,4.7,4.2
CI,Africa,10.8,12.0,12.0
CL,South America,7.7,7.7,7.7
CM,Africa,10.8,12.0,12.0
CN,Asia,3.8,6.2,4.0
CO,South America,7.7,7.7,7.7
CR,North America,4.1,5.4,5.5
CU,North America,4.1,5.4,5.5
CY,Europe,3.7,4.7,4.2
CZ,Europe,3.7,4.7,4.2
DE,Europe,3.7,4.7,4.2
DJ,Africa,10.8,12.0,12.0
DK,Europe,3.7,4.7,4.2
DO,North America,4.1,5.4,5.5
DZ,Africa,10.8,12.0,12.0
EC,South America,7.7,7.7,7.7
EE,Europe,3.7,4.7,4.2
EG,Africa,10.8,12.0,12.0
EH,Africa,10.8,12.0,12.0
ER,Africa,10.8,12.0,12.0
ES,Europe,3.7,4.7,4.2
ET,Africa,10.8,12.0,12.0
FI,Europe,3.7,4.7,4.2
FR,Europe,3.7,4.7,4.2
GA,Africa,10.8,12.0,12.0
GB,Europe,3.7,4.7,4.2
GE,Asia,3.8,6.2,4.0
