year,annual_liion_experience_mwh,cum_liion_experience_global_mwh,annual_grid_battery_additions_mwh,phi_t_observed,phi_t_status,raw_cost_usd_per_kwh,raw_cost_usd_year,cost_2020_eur_per_mwh,cost_source,cum_production_source,grid_storage_source
1992,2,2,,,unavailable,6034.925856,2018,5451427.0607,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),
1993,11,13,,,unavailable,4804.473782,2018,4339943.68988,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),
1994,26,39,,,unavailable,5484.630246,2018,4954337.87497,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),
1995,84,123,,,unavailable,5147.629742,2018,4649920.93418,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),
1996,375,498,,,unavailable,4335.650753,2018,3916449.7468,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),
1997,219,717,,,unavailable,3712.776428,2018,3353799.2633,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),
1998,292,1009,,,unavailable,2987.071865,2018,2698260.88765,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),
1999,502,1511,,,unavailable,2262.542374,2018,2043783.96983,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),
2000,518,2029,0.156562,3308.5934007,observed,2197.811578,2018,1985311.79944,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2001,423,2452,0.806295,524.621881569,observed,1534.049232,2018,1385726.63448,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2002,989,3441,0.101765,9718.46902177,observed,1099.082237,2018,992815.287492,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2003,1640,5081,0,,unavailable,849.8140071,2018,767648.051593,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2004,1835,6916,0,,unavailable,760.3994969,2018,686878.760942,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2005,1711,8627,5.871079,291.428543203,observed,655.5441899,2018,592161.597603,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2006,2716,11343,1.174216,2313.03269586,observed,561.4106858,2018,507129.578352,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2007,2364,13707,0,,unavailable,535.7130245,2018,483916.546485,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2008,3106,16813,3.914053,793.550828259,observed,561.705624,2018,507395.999866,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2009,2280,19093,0.301708,7556.97561881,observed,500.3767042,2018,451996.788512,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2010,5171,24264,72.952725,70.8815195046,observed,449.850591,2018,406355.892941,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2011,5416,29680,42.729233,126.751631605,observed,428.5125549,2018,387080.967252,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2012,5161,34841,132.973915,38.8121234153,observed,440.8423482,2018,398218.629992,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2013,7655,42496,106.64667,71.7790813347,observed,400.9813997,2018,362211.716485,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2014,7153,49649,154.373704,46.3356116661,observed,354.7289696,2018,320431.294474,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),BNEF NEO24 with implied hours (0.78) from 2015
2015,13257,62906,1000,13.257,observed,271.1440712,2018,244927.968025,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),IEA (2026) from https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025
2016,15152,78058,2000,7.576,observed,243.5352999,2018,219988.605625,from Ziegler & Trancik 2021 (need to cite 2 sources),from Ziegler & Trancik 2021 (need to cite 2 sources),IEA (2026) from https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025
2017,133000,211058,4000,33.25,observed,190.3524168,2018,171947.81523,from Ziegler & Trancik 2021 (need to cite 2 sources),"from IEA (2026), Lithium-ion battery deployment by application, 2015-2025, IEA, Paris https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025",IEA (2026) from https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025
2018,181000,392058,8999.999995,20.1111111223,observed,181.7060047,2018,164137.398661,from Ziegler & Trancik 2021 (need to cite 2 sources),"from IEA (2026), Lithium-ion battery deployment by application, 2015-2025, IEA, Paris https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2026",IEA (2026) from https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025
2019,212000,604058,7000,30.2857142857,observed,157,2020,137598.597721,from BNEF via Way et al. (2022),"from IEA (2026), Lithium-ion battery deployment by application, 2015-2025, IEA, Paris https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2027",IEA (2026) from https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025
2020,270000,874058,10000,27,observed,137,2020,120070.113935,from BNEF via Way et al. (2022),"from IEA (2026), Lithium-ion battery deployment by application, 2015-2025, IEA, Paris https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2028",IEA (2026) from https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025
2021,470000,1344058,20000,23.5,observed,159,2025,112191.179532,from BNEF (https://about.bnef.com/insights/clean-transport/lithium-ion-battery-pack-prices-fall-to-108-per-kilowatt-hour-despite-rising-metal-prices-bloombergnef/),"from IEA (2026), Lithium-ion battery deployment by application, 2015-2025, IEA, Paris https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2029",IEA (2026) from https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025
2022,710000,2054058,40000,17.75,observed,170,2025,119952.833462,from BNEF (https://about.bnef.com/insights/clean-transport/lithium-ion-battery-pack-prices-fall-to-108-per-kilowatt-hour-despite-rising-metal-prices-bloombergnef/),"from IEA (2026), Lithium-ion battery deployment by application, 2015-2025, IEA, Paris https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2030",IEA (2026) from https://www.iea.org/data-and-statistics/charts/lithium-ion-battery-deployment-by-application-2015-2025
